Source Location (kilometers) : (0, 0, 3).
Receiver Location (kilometers) : (223.336, 4.1487, 0).
theta = 9.95436, phi = 89.9995,  c0(zground) = 0.33676 km/s
# x [km]	y [km]	z [km]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]	  rho  	   c [km/s]  	   u [km/s]  	   v [km/s]  	   w [km/s]  	Slowness_x [s/km]	Slowness_y [s/km]	Slowness_z [s/km]	Jacobian [km^2/rad^2]
113.535	1.81274	40.9808	-79.1709	-0.0152416	370.518	3.71089e-06	0.322863	0.0298059	0.00617098	0	2.83531	0.0174006	-0.100963	-1764.53
114.784	1.84182	40.9318	-79.4071	-0.0157455	374.063	3.73357e-06	0.322781	0.0297582	0.00623349	0	2.83517	0.0177868	-0.14196	-1874.33
116.032	1.8713	40.8666	-79.5737	-0.0162486	377.609	3.76481e-06	0.322684	0.0296765	0.0063123	0	2.83502	0.0181583	-0.181094	-1963.99
117.279	1.90125	40.7859	-79.7236	-0.0167511	381.157	3.80447e-06	0.322562	0.0295607	0.00640438	0	2.83488	0.018518	-0.220483	-2054.72
118.524	1.9317	40.6882	-79.9665	-0.0172521	384.709	3.85374e-06	0.322367	0.0294037	0.00650895	0	2.83473	0.0188675	-0.265544	-2201.46
119.769	1.96271	40.5727	-80.15	-0.017751	388.264	3.91343e-06	0.322169	0.0292009	0.00662127	0	2.83459	0.019203	-0.30843	-2333.05
121.011	1.99427	40.4398	-80.344	-0.0182476	391.825	3.98399e-06	0.321916	0.0289497	0.00673621	0	2.83445	0.0195204	-0.353885	-2484.98
122.252	2.0264	40.2887	-80.5127	-0.0187413	395.392	4.06659e-06	0.321645	0.0286441	0.00684822	0	2.83431	0.0198233	-0.399192	-2639.06
123.49	2.05907	40.119	-80.6783	-0.0192315	398.966	4.16223e-06	0.321324	0.0282798	0.00695035	0	2.83417	0.0201106	-0.446507	-2808.92
124.725	2.09223	39.9303	-80.849	-0.0197174	402.548	4.27218e-06	0.320917	0.0278538	0.00703462	0	2.83403	0.0203806	-0.497319	-3002
125.957	2.12581	39.7217	-80.9779	-0.0201977	406.139	4.3983e-06	0.320519	0.0273631	0.00709485	0	2.83389	0.0206287	-0.54649	-3188.49
127.185	2.15971	39.493	-81.1087	-0.0206716	409.742	4.54209e-06	0.320016	0.0268076	0.00712347	0	2.83375	0.0208562	-0.599388	-3398.75
128.41	2.19381	39.2435	-81.2182	-0.0211373	413.357	4.70573e-06	0.319453	0.0261909	0.00711242	0	2.83361	0.0210611	-0.653369	-3617.34
129.63	2.22794	38.9731	-81.2952	-0.0215938	416.986	4.89116e-06	0.318866	0.0255201	0.00705545	0	2.83347	0.0212381	-0.706644	-3834.67
130.845	2.26192	38.6821	-81.3522	-0.0220399	420.629	5.10031e-06	0.318199	0.0248086	0.00694798	0	2.83333	0.0213823	-0.760946	-4059.28
132.055	2.29555	38.3703	-81.3847	-0.0224736	424.289	5.33593e-06	0.317461	0.0240711	0.0067897	0	2.83318	0.0214943	-0.815438	-4286.71
133.259	2.32864	38.0382	-81.3856	-0.0228934	427.966	5.60019e-06	0.316686	0.0233316	0.00658151	0	2.83304	0.021573	-0.868341	-4507.8
134.458	2.36099	37.6867	-81.3555	-0.0232976	431.66	5.8954e-06	0.315875	0.0226189	0.00633054	0	2.83289	0.0216143	-0.919065	-4719.4
